CODE_PCT,NOM_COMMERCIAL,NAME_MAIN,FORM,STRENGTH,PACKAGE,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
301620,MIOREL Gelule 4 MG BT 24,MIOREL,Gélule,4 MG,BT 24,10.845,9.504,I,THIOCOLCHICOSIDE,N
303583,MIRAZINE 15mg Comp Pell Séc Bt 30,MIRAZINE,Comprimé Pelliculé Sécable,15mg,Bt 30,16.64,16.62,E,MIRTAZAPINE,N
303608,MIRAZINE 30mg Comp. Pell. Séc. Bt 30,MIRAZINE,Comprimé Pelliculé Sécable,30mg,Bt 30,26.5,26.49,E,MIRTAZAPINE,N
300965,MIZOLEN Comp Pell à liberation modifiée 10mg Bt 14,MIZOLEN,Comprimé à Libération Prolongée,10mg,Bt 14,7.295,7.294,E,MIZOLASTINE,N
103206,MOBIC Sol Inj 15mg Bt 3/1.5 ml,MOBIC,Solution Injectable,15mg,Bt 3/1.5 ml,5.95,4.68,E,MELOXICAM,N
301207,MOLSICOR  Comp Sec 4 mg  Bt 30,MOLSICOR,Comprimé Sécable,4 mg,Bt 30,7.66,7.65,E,MOLSIDOMINE,N
301206,MOLSICOR Comp Sec 2 mg  Bt 30,MOLSICOR,Comprimé Sécable,2 mg,Bt 30,4.35,3.99,E,MOLSIDOMINE,N
300992,MOLSIDOMINE WINTHROP Comp Sec 2mg Bt 30,MOLSIDOMINE WINTHROP,Comprimé Sécable,2mg,Bt 30,4.475,3.99,E,MOLSIDOMINE,N
300993,MOLSIDOMINE WINTHROP Comp Sec 4mg Bt 30,MOLSIDOMINE WINTHROP,Comprimé Sécable,4mg,Bt 30,8.49,7.65,E,MOLSIDOMINE,N
300406,"MOMENT Gttes Buv 200mg/ml Fl 12,5ml",MOMENT,Gouttes Buvables,200mg/ml,"Fl 12,5ml",4.88,4.875,E,IBUPROFEN,N
105931,MONCAS 10mg Comp Pell Bt 28,MONCAS,Comprimé Pelliculé,10mg,Bt 28,36.725,34.132,E,MONTELUKAST,N
105930,MONCAS 5mg Comp à Croquer Bt 28,MONCAS,Comprimé à Croquer,5mg,Bt 28,36.725,34.132,E,MONTELUKAST,N
307539,MONOCLINE Comp 200mg Bt 10,MONOCLINE,Comprimé,200mg,Bt 10,8.905,6.86,E,DOXYCYCLINE,N
302457,MONO-ETIKEN Comp Sec 16 MG BT 30,MONO-ETIKEN,Comprimé Sécable,16 MG,BT 30,30.21,21.63,E,CANDESARTAN CILEXETIL,N
302458,MONO-ETIKEN Comp Sec 32 MG BT 30,MONO-ETIKEN,Comprimé Sécable,32 MG,BT 30,40.535,40.53,E,CANDESARTAN CILEXETIL,N
302455,MONO-ETIKEN Comp Sec 4 MG BT 30,MONO-ETIKEN,Comprimé Sécable,4 MG,BT 30,18.81,17.91,E,CANDESARTAN CILEXETIL,N
302456,MONO-ETIKEN Comp Sec 8 MG BT 30,MONO-ETIKEN,Comprimé Sécable,8 MG,BT 30,20.885,20.01,E,CANDESARTAN CILEXETIL,N
301062,MONOFLOCET Comp Pell 200mg  Bt 2,MONOFLOCET,Comprimé Pelliculé,200mg,Bt 2,5.24,2.734,E,OFLOXACINE,N
105101,MONOPROST Collyre 50 µG/ML BT 30 Récipient Unidoses,MONOPROST,Collyre,50 µG/ML,BT 30 Récipient Unidoses,44.375,24.26,E,LATANOPROST,N
