NAME_MAIN,STRENGTH,FORM,PACKAGE,DCI,LABO,PAYS,CODE_PCT,DATE AMM,G/P
AMINOVEN,10%,Solution injectable pour perfusion,FL/500 ml,ACIDES AMINES,FRESENIUS KABI FRANCE,FRANCE,3153052H,2010-09-22,Princeps
AMINOVEN,5%,Solution injectable pour perfusion,FL/500 ml,ACIDES AMINES,FRESENIUS KABI FRANCE,FRANCE,3153051H,2010-09-22,Princeps
AMINOVEN,10%,Solution injectable pour perfusion,B/10 FL/500 ml,ACIDES AMINES,FRESENIUS KABI FRANCE,FRANCE,31530510H,2018-01-31,Princeps
AMIPRIDE400,400 mg,Comprimé pelliculé sécable,B/30,AMISULPRIDE,TAHA PHARMA,Tunisie,9373302,2017-04-28,Générique
AMLODIN,5 MG,Comprimé,B/30,AMLODIPINE,TERIAK,Tunisie,9253401,2007-09-03,Générique
AMLODIN,10 mg,Comprimé,B/30,AMLODIPINE,TERIAK,Tunisie,9253402,2007-09-03,Générique
AMLODIPINE ZENTIVA,10 MG,Comprimé sécable,B/30,AMLODIPINE,WINTHROP PHARMA TUNISIE,Tunisie,9103662,2008-12-18,Générique
AMLOPRESS,10 mg,Comprimé,B/30,AMLODIPINE,DAR-ESSAYDALI.,Tunisie,9213512,2025-11-03,Générique
AMLOPRESS,5 mg,Comprimé,B/30,AMLODIPINE,DAR-ESSAYDALI.,Tunisie,9213511,2025-11-03,Générique
AMOXI PLUS,1.2 gr,Pdre p.prep.injectable,B/50 FL sans solvant,AMOXICILLINE+ACIDE CLAVULANIQUE,ANTIBIOTICE S.A,ROMANIE,4223071,2015-07-13,Générique
AMOXI-CLAV SANOFI ADULTE,500 mg/62.5mg,Comprimé pelliculé,B/24,AMOXICILLINE+ACIDE CLAVULANIQUE,WINTHROP PHARMA TUNISIE,Tunisie,9103714,2015-07-29,Générique
AMOXI-CLAV SANOFI ADULTE,500 mg/62.5mg,Comprimé pelliculé,B/24,AMOXICILLINE+ACIDE CLAVULANIQUE,SANOFI AVENTIS PHARMA TUNISIE,Tunisie,9263415,2021-09-14,Générique
AMOXI-CLAV SANOFI,1000 mg/125 mg,Poudre pour suspension orale,B/12 Sachets,AMOXICILLINE+ACIDE CLAVULANIQUE,WINTHROP PHARMA TUNISIE,Tunisie,9103713,2010-08-11,Générique
AMOXI-CLAV SANOFI,1000 mg/125 mg,Poudre pour suspension orale,B/24 Sachets,AMOXICILLINE+ACIDE CLAVULANIQUE,WINTHROP PHARMA TUNISIE,Tunisie,9103715,2016-11-30,Générique
AMOXI-CLAV SANOFI,1000 mg/125 mg,Poudre pour suspension orale,B/24 Sachets,AMOXICILLINE+ACIDE CLAVULANIQUE,SANOFI AVENTIS PHARMA TUNISIE,Tunisie,9263414,2021-09-14,Générique
